id,Season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,win_by_runs,win_by_wickets,player_of_match,Unnamed: 12,winner
180,IPL-2010,Ahmedabad,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,6,V Sehwag,,Delhi Daredevils
187,IPL-2010,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,34,0,AA Jhunjhunwala,,Rajasthan Royals
195,IPL-2010,Ahmedabad,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,0,8,YK Pathan,,Rajasthan Royals
198,IPL-2010,Ahmedabad,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,17,0,NV Ojha,,Rajasthan Royals
482,IPL-2014,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,10,0,PV Tambe,,Rajasthan Royals
487,IPL-2014,Ahmedabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,32,0,B Kumar,,Sunrisers Hyderabad
498,IPL-2014,Ahmedabad,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,62,0,AM Rahane,,Rajasthan Royals
501,IPL-2014,Ahmedabad,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,25,0,MEK Hussey,,Mumbai Indians
526,IPL-2015,Ahmedabad,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,0,7,SPD Smith,,Rajasthan Royals
533,IPL-2015,Ahmedabad,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,0,8,AM Rahane,,Rajasthan Royals
536,IPL-2015,Ahmedabad,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,tie,0,0,0,SE Marsh,,Kings XI Punjab
540,IPL-2015,Ahmedabad,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,9,MA Starc,,Royal Challengers Bangalore
5,IPL-2017,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,15,0,KM Jadhav,,Royal Challengers Bangalore
12,IPL-2017,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,4,KA Pollard,,Mumbai Indians
42,IPL-2017,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,19,0,Sandeep Sharma,,Kings XI Punjab
58,IPL-2017,Bangalore,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,0,6,KV Sharma,,Mumbai Indians
70,IPL-2008,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,7,SR Watson,,Rajasthan Royals
84,IPL-2008,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,6,S Sreesanth,,Kings XI Punjab
90,IPL-2008,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,9,CRD Fernando,,Mumbai Indians
104,IPL-2008,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,5,SP Goswami,,Delhi Daredevils
111,IPL-2008,Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,3,0,P Kumar,,Royal Challengers Bangalore
181,IPL-2010,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,0,8,JH Kallis,,Royal Challengers Bangalore
184,IPL-2010,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,10,JH Kallis,,Royal Challengers Bangalore
192,IPL-2010,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,36,0,RV Uthappa,,Royal Challengers Bangalore
197,IPL-2010,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,17,0,KM Jadhav,,Delhi Daredevils
217,IPL-2010,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,7,R Vinay Kumar,,Royal Challengers Bangalore
226,IPL-2010,Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,57,0,R McLaren,,Mumbai Indians
242,IPL-2011,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,9,SR Tendulkar,,Mumbai Indians
268,IPL-2011,Bangalore,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,26,0,V Kohli,,Royal Challengers Bangalore
280,IPL-2011,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,85,0,CH Gayle,,Royal Challengers Bangalore
283,IPL-2011,Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,0,0,9,CH Gayle,,Royal Challengers Bangalore
291,IPL-2011,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,0,4,CH Gayle,,Royal Challengers Bangalore
302,IPL-2011,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,8,CH Gayle,,Royal Challengers Bangalore
312,IPL-2012,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,20,0,AB de Villiers,,Royal Challengers Bangalore
326,IPL-2012,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,59,0,AM Rahane,,Rajasthan Royals
329,IPL-2012,Bangalore,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,normal,0,0,6,CH Gayle,,Royal Challengers Bangalore
350,IPL-2012,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,4,Azhar Mahmood,,Kings XI Punjab
356,IPL-2012,Bangalore,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,5,AB de Villiers,,Royal Challengers Bangalore
367,IPL-2012,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,5,AT Rayudu,,Mumbai Indians
383,IPL-2013,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,2,0,CH Gayle,,Royal Challengers Bangalore
392,IPL-2013,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,8,CH Gayle,,Royal Challengers Bangalore
401,IPL-2013,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,tie,0,0,0,V Kohli,,Royal Challengers Bangalore
407,IPL-2013,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,7,R Vinay Kumar,,Royal Challengers Bangalore
411,IPL-2013,Bangalore,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,130,0,CH Gayle,,Royal Challengers Bangalore
429,IPL-2013,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,7,AC Gilchrist,,Kings XI Punjab
432,IPL-2013,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,0,7,V Kohli,,Royal Challengers Bangalore
452,IPL-2013,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,24,0,V Kohli,,Royal Challengers Bangalore
481,IPL-2014,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,4,AB de Villiers,,Royal Challengers Bangalore
488,IPL-2014,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,32,0,Sandeep Sharma,,Kings XI Punjab
492,IPL-2014,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,0,5,JP Faulkner,,Rajasthan Royals
495,IPL-2014,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,16,0,Yuvraj Singh,,Royal Challengers Bangalore
525,IPL-2015,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,0,8,DA Warner,,Sunrisers Hyderabad
534,IPL-2015,Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,18,0,Harbhajan Singh,,Mumbai Indians
550,IPL-2015,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,7,Mandeep Singh,,Royal Challengers Bangalore
557,IPL-2015,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,138,0,CH Gayle,,Royal Challengers Bangalore
580,IPL-2016,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,45,0,AB de Villiers,,Royal Challengers Bangalore
587,IPL-2016,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,7,Q de Kock,,Delhi Daredevils
611,IPL-2016,Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,7,V Kohli,,Royal Challengers Bangalore
617,IPL-2016,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,6,KH Pandya,,Mumbai Indians
620,IPL-2016,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,144,0,AB de Villiers,,Royal Challengers Bangalore
626,IPL-2016,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,1,82,0,V Kohli,,Royal Challengers Bangalore
633,IPL-2016,Bangalore,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,4,AB de Villiers,,Royal Challengers Bangalore
636,IPL-2016,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,8,0,BCJ Cutting,,Sunrisers Hyderabad
32,IPL-2017,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,26,0,Rashid Khan,,Sunrisers Hyderabad
35,IPL-2017,Chandigarh,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,10,Sandeep Sharma,,Kings XI Punjab
48,IPL-2017,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,14,0,MM Sharma,,Kings XI Punjab
69,IPL-2008,Chandigarh,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,66,0,KC Sangakkara,,Kings XI Punjab
73,IPL-2008,Chandigarh,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,0,4,SM Katich,,Kings XI Punjab
81,IPL-2008,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,9,0,IK Pathan,,Kings XI Punjab
94,IPL-2008,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,0,9,SE Marsh,,Kings XI Punjab
97,IPL-2008,,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,41,0,SE Marsh,,Kings XI Punjab
108,IPL-2008,Chandigarh,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,6,SE Marsh,,Kings XI Punjab
177,IPL-2010,Chandigarh,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,5,G Gambhir,,Delhi Daredevils
193,IPL-2010,Chandigarh,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,31,0,AC Voges,,Rajasthan Royals
205,IPL-2010,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,0,6,KP Pietersen,,Royal Challengers Bangalore
215,IPL-2010,Chandigarh,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,0,6,KC Sangakkara,,Kings XI Punjab
243,IPL-2011,Chandigarh,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,6,PC Valthaty,,Kings XI Punjab
256,IPL-2011,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,48,0,SE Marsh,,Kings XI Punjab
287,IPL-2011,Chandigarh,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,76,0,BA Bhatt,,Kings XI Punjab
